database_code	domain_name	database_group	language_code	mobile_domain_name	language_name	status	visibility	editability	english_name
dvwiki	dv.wikipedia.org	wikipedia	dv	dv.m.wikipedia.org	Divehi	open	public	public	Divehi Wikipedia
dvwiktionary	dv.wiktionary.org	wiktionary	dv	dv.m.wiktionary.org	Divehi	open	public	public	Divehi Wiktionary
dzwiki	dz.wikipedia.org	wikipedia	dz	dz.m.wikipedia.org	Dzongkha	open	public	public	Dzongkha Wikipedia
dzwiktionary	dz.wiktionary.org	wiktionary	dz	dz.m.wiktionary.org	Dzongkha	closed	public	public	Dzongkha Wiktionary
ecwikimedia	ec.wikimedia.org	ecwikimedia	en	ec.m.wikimedia.org	English	open	private	private	Wikimedistas de Ecuador
eewiki	ee.wikipedia.org	wikipedia	ee	ee.m.wikipedia.org	Ewe	open	public	public	Ewe Wikipedia
electcomwiki	electcom.wikimedia.org	electcom	en	electcom.m.wikimedia.org	English	open	private	private	Wikimedia Foundation Elections Committee
elwiki	el.wikipedia.org	wikipedia	el	el.m.wikipedia.org	Greek	open	public	public	Greek Wikipedia
elwikibooks	el.wikibooks.org	wikibooks	el	el.m.wikibooks.org	Greek	open	public	public	Greek Wikibooks
elwikinews	el.wikinews.org	wikinews	el	el.m.wikinews.org	Greek	open	public	public	Greek Wikinews
elwikiquote	el.wikiquote.org	wikiquote	el	el.m.wikiquote.org	Greek	open	public	public	Greek Wikiquote
elwikisource	el.wikisource.org	wikisource	el	el.m.wikisource.org	Greek	open	public	public	Greek Wikisource
elwikiversity	el.wikiversity.org	wikiversity	el	el.m.wikiversity.org	Greek	open	public	public	Greek Wikiversity
elwikivoyage	el.wikivoyage.org	wikivoyage	el	el.m.wikivoyage.org	Greek	open	public	public	Greek Wikivoyage
elwiktionary	el.wiktionary.org	wiktionary	el	el.m.wiktionary.org	Greek	open	public	public	Greek Wiktionary
emlwiki	eml.wikipedia.org	wikipedia	eml	eml.m.wikipedia.org	Emiliano-Romagnolo	open	public	public	Emiliano-Romagnolo Wikipedia
enwiki	en.wikipedia.org	wikipedia	en	en.m.wikipedia.org	English	open	public	public	English Wikipedia
enwikibooks	en.wikibooks.org	wikibooks	en	en.m.wikibooks.org	English	open	public	public	English Wikibooks
enwikinews	en.wikinews.org	wikinews	en	en.m.wikinews.org	English	open	public	public	English Wikinews
enwikiquote	en.wikiquote.org	wikiquote	en	en.m.wikiquote.org	English	open	public	public	English Wikiquote
enwikisource	en.wikisource.org	wikisource	en	en.m.wikisource.org	English	open	public	public	English Wikisource
enwikiversity	en.wikiversity.org	wikiversity	en	en.m.wikiversity.org	English	open	public	public	English Wikiversity
enwikivoyage	en.wikivoyage.org	wikivoyage	en	en.m.wikivoyage.org	English	open	public	public	English Wikivoyage
enwiktionary	en.wiktionary.org	wiktionary	en	en.m.wiktionary.org	English	open	public	public	English Wiktionary
eowiki	eo.wikipedia.org	wikipedia	eo	eo.m.wikipedia.org	Esperanto	open	public	public	Esperanto Wikipedia
eowikibooks	eo.wikibooks.org	wikibooks	eo	eo.m.wikibooks.org	Esperanto	open	public	public	Esperanto Wikibooks
eowikinews	eo.wikinews.org	wikinews	eo	eo.m.wikinews.org	Esperanto	open	public	public	Esperanto Wikinews
eowikiquote	eo.wikiquote.org	wikiquote	eo	eo.m.wikiquote.org	Esperanto	open	public	public	Esperanto Wikiquote
eowikisource	eo.wikisource.org	wikisource	eo	eo.m.wikisource.org	Esperanto	open	public	public	Esperanto Wikisource
eowikivoyage	eo.wikivoyage.org	wikivoyage	eo	eo.m.wikivoyage.org	Esperanto	open	public	public	Esperanto Wikivoyage
eowiktionary	eo.wiktionary.org	wiktionary	eo	eo.m.wiktionary.org	Esperanto	open	public	public	Esperanto Wiktionary
eswiki	es.wikipedia.org	wikipedia	es	es.m.wikipedia.org	Spanish	open	public	public	Spanish Wikipedia
eswikibooks	es.wikibooks.org	wikibooks	es	es.m.wikibooks.org	Spanish	open	public	public	Spanish Wikibooks
eswikinews	es.wikinews.org	wikinews	es	es.m.wikinews.org	Spanish	open	public	public	Spanish Wikinews
eswikiquote	es.wikiquote.org	wikiquote	es	es.m.wikiquote.org	Spanish	open	public	public	Spanish Wikiquote
eswikisource	es.wikisource.org	wikisource	es	es.m.wikisource.org	Spanish	open	public	public	Spanish Wikisource
eswikiversity	es.wikiversity.org	wikiversity	es	es.m.wikiversity.org	Spanish	open	public	public	Spanish Wikiversity
eswikivoyage	es.wikivoyage.org	wikivoyage	es	es.m.wikivoyage.org	Spanish	open	public	public	Spanish Wikivoyage
eswiktionary	es.wiktionary.org	wiktionary	es	es.m.wiktionary.org	Spanish	open	public	public	Spanish Wiktionary
etwiki	et.wikipedia.org	wikipedia	et	et.m.wikipedia.org	Estonian	open	public	public	Estonian Wikipedia
etwikibooks	et.wikibooks.org	wikibooks	et	et.m.wikibooks.org	Estonian	open	public	public	Estonian Wikibooks
etwikimedia	ee.wikimedia.org	etwikimedia	en	ee.m.wikimedia.org	English	open	public	public	Wikimedia Estonia
etwikiquote	et.wikiquote.org	wikiquote	et	et.m.wikiquote.org	Estonian	open	public	public	Estonian Wikiquote
etwikisource	et.wikisource.org	wikisource	et	et.m.wikisource.org	Estonian	open	public	public	Estonian Wikisource
etwiktionary	et.wiktionary.org	wiktionary	et	et.m.wiktionary.org	Estonian	open	public	public	Estonian Wiktionary
euwiki	eu.wikipedia.org	wikipedia	eu	eu.m.wikipedia.org	Basque	open	public	public	Basque Wikipedia
euwikibooks	eu.wikibooks.org	wikibooks	eu	eu.m.wikibooks.org	Basque	open	public	public	Basque Wikibooks
euwikiquote	eu.wikiquote.org	wikiquote	eu	eu.m.wikiquote.org	Basque	open	public	public	Basque Wikiquote
euwikisource	eu.wikisource.org	wikisource	eu	eu.m.wikisource.org	Basque	open	public	public	Basque Wikisource
euwiktionary	eu.wiktionary.org	wiktionary	eu	eu.m.wiktionary.org	Basque	open	public	public	Basque Wiktionary
execwiki	exec.wikimedia.org	exec	en	exec.m.wikimedia.org	English	open	private	private	Wikimedia Executive
extwiki	ext.wikipedia.org	wikipedia	ext	ext.m.wikipedia.org	Extremaduran	open	public	public	Extremaduran Wikipedia
fatwiki	fat.wikipedia.org	wikipedia	fat	fat.m.wikipedia.org	Fanti	open	public	public	Fante Wikipedia
fawiki	fa.wikipedia.org	wikipedia	fa	fa.m.wikipedia.org	Persian	open	public	public	Persian Wikipedia
fawikibooks	fa.wikibooks.org	wikibooks	fa	fa.m.wikibooks.org	Persian	open	public	public	Persian Wikibooks
fawikinews	fa.wikinews.org	wikinews	fa	fa.m.wikinews.org	Persian	open	public	public	Persian Wikinews
fawikiquote	fa.wikiquote.org	wikiquote	fa	fa.m.wikiquote.org	Persian	open	public	public	Persian Wikiquote
fawikisource	fa.wikisource.org	wikisource	fa	fa.m.wikisource.org	Persian	open	public	public	Persian Wikisource
fawikivoyage	fa.wikivoyage.org	wikivoyage	fa	fa.m.wikivoyage.org	Persian	open	public	public	Persian Wikivoyage
fawiktionary	fa.wiktionary.org	wiktionary	fa	fa.m.wiktionary.org	Persian	open	public	public	Persian Wiktionary
fdcwiki	fdc.wikimedia.org	fdc	en	fdc.m.wikimedia.org	English	open	private	private	Wikimedia FDC
ffwiki	ff.wikipedia.org	wikipedia	ff	ff.m.wikipedia.org	Fula	open	public	public	Fulah Wikipedia
fiu_vrowiki	fiu-vro.wikipedia.org	wikipedia	vro	fiu-vro.m.wikipedia.org	Võro	open	public	public	Võro Wikipedia
fiwiki	fi.wikipedia.org	wikipedia	fi	fi.m.wikipedia.org	Finnish	open	public	public	Finnish Wikipedia
fiwikibooks	fi.wikibooks.org	wikibooks	fi	fi.m.wikibooks.org	Finnish	open	public	public	Finnish Wikibooks
fiwikimedia	fi.wikimedia.org	fiwikimedia	en	fi.m.wikimedia.org	English	open	public	public	Wikimedia Finland
fiwikinews	fi.wikinews.org	wikinews	fi	fi.m.wikinews.org	Finnish	open	public	public	Finnish Wikinews
fiwikiquote	fi.wikiquote.org	wikiquote	fi	fi.m.wikiquote.org	Finnish	open	public	public	Finnish Wikiquote
fiwikisource	fi.wikisource.org	wikisource	fi	fi.m.wikisource.org	Finnish	open	public	public	Finnish Wikisource
fiwikiversity	fi.wikiversity.org	wikiversity	fi	fi.m.wikiversity.org	Finnish	open	public	public	Finnish Wikiversity
fiwikivoyage	fi.wikivoyage.org	wikivoyage	fi	fi.m.wikivoyage.org	Finnish	open	public	public	Finnish Wikivoyage
fiwiktionary	fi.wiktionary.org	wiktionary	fi	fi.m.wiktionary.org	Finnish	open	public	public	Finnish Wiktionary
fjwiki	fj.wikipedia.org	wikipedia	fj	fj.m.wikipedia.org	Fijian	open	public	public	Fijian Wikipedia
fjwiktionary	fj.wiktionary.org	wiktionary	fj	fj.m.wiktionary.org	Fijian	open	public	public	Fijian Wiktionary
fonwiki	fon.wikipedia.org	wikipedia	fon	fon.m.wikipedia.org	Fon	open	public	public	Fon Wikipedia
foundationwiki	foundation.wikimedia.org	foundation	en	foundation.m.wikimedia.org	English	open	public	public	Wikimedia Foundation Governance
fowiki	fo.wikipedia.org	wikipedia	fo	fo.m.wikipedia.org	Faroese	open	public	public	Faroese Wikipedia
fowikisource	fo.wikisource.org	wikisource	fo	fo.m.wikisource.org	Faroese	open	public	public	Faroese Wikisource
fowiktionary	fo.wiktionary.org	wiktionary	fo	fo.m.wiktionary.org	Faroese	open	public	public	Faroese Wiktionary
frpwiki	frp.wikipedia.org	wikipedia	frp	frp.m.wikipedia.org	Arpitan	open	public	public	Arpitan Wikipedia
frrwiki	frr.wikipedia.org	wikipedia	frr	frr.m.wikipedia.org	Northern Frisian	open	public	public	Northern Frisian Wikipedia
frwiki	fr.wikipedia.org	wikipedia	fr	fr.m.wikipedia.org	French	open	public	public	French Wikipedia
frwikibooks	fr.wikibooks.org	wikibooks	fr	fr.m.wikibooks.org	French	open	public	public	French Wikibooks
frwikinews	fr.wikinews.org	wikinews	fr	fr.m.wikinews.org	French	open	public	public	French Wikinews
frwikiquote	fr.wikiquote.org	wikiquote	fr	fr.m.wikiquote.org	French	open	public	public	French Wikiquote
frwikisource	fr.wikisource.org	wikisource	fr	fr.m.wikisource.org	French	open	public	public	French Wikisource
frwikiversity	fr.wikiversity.org	wikiversity	fr	fr.m.wikiversity.org	French	open	public	public	French Wikiversity
frwikivoyage	fr.wikivoyage.org	wikivoyage	fr	fr.m.wikivoyage.org	French	open	public	public	French Wikivoyage
frwiktionary	fr.wiktionary.org	wiktionary	fr	fr.m.wiktionary.org	French	open	public	public	French Wiktionary
furwiki	fur.wikipedia.org	wikipedia	fur	fur.m.wikipedia.org	Friulian	open	public	public	Friulian Wikipedia
fywiki	fy.wikipedia.org	wikipedia	fy	fy.m.wikipedia.org	Western Frisian	open	public	public	Western Frisian Wikipedia
fywikibooks	fy.wikibooks.org	wikibooks	fy	fy.m.wikibooks.org	Western Frisian	open	public	public	Western Frisian Wikibooks
fywiktionary	fy.wiktionary.org	wiktionary	fy	fy.m.wiktionary.org	Western Frisian	open	public	public	Western Frisian Wiktionary
gagwiki	gag.wikipedia.org	wikipedia	gag	gag.m.wikipedia.org	Gagauz	open	public	public	Gagauz Wikipedia
ganwiki	gan.wikipedia.org	wikipedia	gan	gan.m.wikipedia.org	Gan	open	public	public	Gan Chinese Wikipedia
gawiki	ga.wikipedia.org	wikipedia	ga	ga.m.wikipedia.org	Irish	open	public	public	Irish Wikipedia
gawikibooks	ga.wikibooks.org	wikibooks	ga	ga.m.wikibooks.org	Irish	closed	public	public	Irish Wikibooks
gawikiquote	ga.wikiquote.org	wikiquote	ga	ga.m.wikiquote.org	Irish	closed	public	public	Irish Wikiquote
gawiktionary	ga.wiktionary.org	wiktionary	ga	ga.m.wiktionary.org	Irish	open	public	public	Irish Wiktionary
gcrwiki	gcr.wikipedia.org	wikipedia	gcr	gcr.m.wikipedia.org	Guianan Creole	open	public	public	Guianan Creole Wikipedia
gdwiki	gd.wikipedia.org	wikipedia	gd	gd.m.wikipedia.org	Scottish Gaelic	open	public	public	Scottish Gaelic Wikipedia
gdwiktionary	gd.wiktionary.org	wiktionary	gd	gd.m.wiktionary.org	Scottish Gaelic	open	public	public	Scottish Gaelic Wiktionary
gewikimedia	ge.wikimedia.org	gewikimedia	en	ge.m.wikimedia.org	English	open	public	private	Wikimedia Community User Group Georgia
glkwiki	glk.wikipedia.org	wikipedia	glk	glk.m.wikipedia.org	Gilaki	open	public	public	Gilaki Wikipedia
glwiki	gl.wikipedia.org	wikipedia	gl	gl.m.wikipedia.org	Galician	open	public	public	Galician Wikipedia
glwikibooks	gl.wikibooks.org	wikibooks	gl	gl.m.wikibooks.org	Galician	open	public	public	Galician Wikibooks
glwikiquote	gl.wikiquote.org	wikiquote	gl	gl.m.wikiquote.org	Galician	open	public	public	Galician Wikiquote
glwikisource	gl.wikisource.org	wikisource	gl	gl.m.wikisource.org	Galician	open	public	public	Galician Wikisource
glwiktionary	gl.wiktionary.org	wiktionary	gl	gl.m.wiktionary.org	Galician	open	public	public	Galician Wiktionary
gnwiki	gn.wikipedia.org	wikipedia	gn	gn.m.wikipedia.org	Guarani	open	public	public	Guarani Wikipedia
gnwikibooks	gn.wikibooks.org	wikibooks	gn	gn.m.wikibooks.org	Guarani	closed	public	public	Guarani Wikibooks
gnwiktionary	gn.wiktionary.org	wiktionary	gn	gn.m.wiktionary.org	Guarani	open	public	public	Guarani Wiktionary
gomwiki	gom.wikipedia.org	wikipedia	gom	gom.m.wikipedia.org	Goan Konkani	open	public	public	Goan Konkani Wikipedia
gomwiktionary	gom.wiktionary.org	wiktionary	gom	gom.m.wiktionary.org	Goan Konkani	open	public	public	Goan Konkani Wiktionary
gorwiki	gor.wikipedia.org	wikipedia	gor	gor.m.wikipedia.org	Gorontalo	open	public	public	Gorontalo Wikipedia
gorwikiquote	gor.wikiquote.org	wikiquote	gor	gor.m.wikiquote.org	Gorontalo	open	public	public	Gorontalo Wikiquote
gorwiktionary	gor.wiktionary.org	wiktionary	gor	gor.m.wiktionary.org	Gorontalo	open	public	public	Gorontalo Wiktionary
gotwiki	got.wikipedia.org	wikipedia	got	got.m.wikipedia.org	Gothic	open	public	public	Gothic Wikipedia
gotwikibooks	got.wikibooks.org	wikibooks	got	got.m.wikibooks.org	Gothic	closed	public	public	Gothic Wikibooks
gpewiki	gpe.wikipedia.org	wikipedia	gpe	gpe.m.wikipedia.org	Ghanaian Pidgin	open	public	public	Ghanaian Pidgin Wikipedia
grantswiki	grants.wikimedia.org	grants	en	grants.m.wikimedia.org	English	open	private	private	Wikimedia Foundation Grants Discussion
grwikimedia	gr.wikimedia.org	grwikimedia	en	gr.m.wikimedia.org	English	open	public	private	Wikimedia Community User Group Greece
gucwiki	guc.wikipedia.org	wikipedia	guc	guc.m.wikipedia.org	Wayuu	open	public	public	Wayuu Wikipedia
gurwiki	gur.wikipedia.org	wikipedia	gur	gur.m.wikipedia.org	Frafra	open	public	public	Farefare Wikipedia
guwiki	gu.wikipedia.org	wikipedia	gu	gu.m.wikipedia.org	Gujarati	open	public	public	Gujarati Wikipedia
guwikibooks	gu.wikibooks.org	wikibooks	gu	gu.m.wikibooks.org	Gujarati	closed	public	public	Gujarati Wikibooks
guwikiquote	gu.wikiquote.org	wikiquote	gu	gu.m.wikiquote.org	Gujarati	open	public	public	Gujarati Wikiquote
guwikisource	gu.wikisource.org	wikisource	gu	gu.m.wikisource.org	Gujarati	open	public	public	Gujarati Wikisource
guwiktionary	gu.wiktionary.org	wiktionary	gu	gu.m.wiktionary.org	Gujarati	open	public	public	Gujarati Wiktionary
guwwiki	guw.wikipedia.org	wikipedia	guw	guw.m.wikipedia.org	Gun	open	public	public	Gun Wikipedia
guwwikinews	guw.wikinews.org	wikinews	guw	guw.m.wikinews.org	Gun	open	public	public	Gun Wikinews
guwwikiquote	guw.wikiquote.org	wikiquote	guw	guw.m.wikiquote.org	Gun	open	public	public	Gun Wikiquote
guwwiktionary	guw.wiktionary.org	wiktionary	guw	guw.m.wiktionary.org	Gun	open	public	public	Gun Wiktionary
gvwiki	gv.wikipedia.org	wikipedia	gv	gv.m.wikipedia.org	Manx	open	public	public	Manx Wikipedia
gvwiktionary	gv.wiktionary.org	wiktionary	gv	gv.m.wiktionary.org	Manx	open	public	public	Manx Wiktionary
hakwiki	hak.wikipedia.org	wikipedia	hak	hak.m.wikipedia.org	Hakka Chinese	open	public	public	Hakka Chinese Wikipedia
hawiki	ha.wikipedia.org	wikipedia	ha	ha.m.wikipedia.org	Hausa	open	public	public	Hausa Wikipedia
hawiktionary	ha.wiktionary.org	wiktionary	ha	ha.m.wiktionary.org	Hausa	open	public	public	Hausa Wiktionary
hawwiki	haw.wikipedia.org	wikipedia	haw	haw.m.wikipedia.org	Hawaiian	open	public	public	Hawaiian Wikipedia
hewiki	he.wikipedia.org	wikipedia	he	he.m.wikipedia.org	Hebrew	open	public	public	Hebrew Wikipedia
hewikibooks	he.wikibooks.org	wikibooks	he	he.m.wikibooks.org	Hebrew	open	public	public	Hebrew Wikibooks
hewikinews	he.wikinews.org	wikinews	he	he.m.wikinews.org	Hebrew	open	public	public	Hebrew Wikinews
hewikiquote	he.wikiquote.org	wikiquote	he	he.m.wikiquote.org	Hebrew	open	public	public	Hebrew Wikiquote
hewikisource	he.wikisource.org	wikisource	he	he.m.wikisource.org	Hebrew	open	public	public	Hebrew Wikisource
hewikivoyage	he.wikivoyage.org	wikivoyage	he	he.m.wikivoyage.org	Hebrew	open	public	public	Hebrew Wikivoyage
hewiktionary	he.wiktionary.org	wiktionary	he	he.m.wiktionary.org	Hebrew	open	public	public	Hebrew Wiktionary
hifwiki	hif.wikipedia.org	wikipedia	hif	hif.m.wikipedia.org	Fiji Hindi	open	public	public	Fiji Hindi Wikipedia
hifwiktionary	hif.wiktionary.org	wiktionary	hif	hif.m.wiktionary.org	Fiji Hindi	open	public	public	Fiji Hindi Wiktionary
hiwiki	hi.wikipedia.org	wikipedia	hi	hi.m.wikipedia.org	Hindi	open	public	public	Hindi Wikipedia
hiwikibooks	hi.wikibooks.org	wikibooks	hi	hi.m.wikibooks.org	Hindi	open	public	public	Hindi Wikibooks
hiwikimedia	hi.wikimedia.org	hiwikimedia	en	hi.m.wikimedia.org	English	open	public	private	Hindi Wikimedians User Group
hiwikiquote	hi.wikiquote.org	wikiquote	hi	hi.m.wikiquote.org	Hindi	open	public	public	Hindi Wikiquote
hiwikisource	hi.wikisource.org	wikisource	hi	hi.m.wikisource.org	Hindi	open	public	public	Hindi Wikisource
hiwikiversity	hi.wikiversity.org	wikiversity	hi	hi.m.wikiversity.org	Hindi	open	public	public	Hindi Wikiversity
hiwikivoyage	hi.wikivoyage.org	wikivoyage	hi	hi.m.wikivoyage.org	Hindi	open	public	public	Hindi Wikivoyage
hiwiktionary	hi.wiktionary.org	wiktionary	hi	hi.m.wiktionary.org	Hindi	open	public	public	Hindi Wiktionary
howiki	ho.wikipedia.org	wikipedia	ho	ho.m.wikipedia.org	Hiri Motu	closed	public	public	Hiri Motu Wikipedia
hrwiki	hr.wikipedia.org	wikipedia	hr	hr.m.wikipedia.org	Croatian	open	public	public	Croatian Wikipedia
hrwikibooks	hr.wikibooks.org	wikibooks	hr	hr.m.wikibooks.org	Croatian	open	public	public	Croatian Wikibooks
hrwikiquote	hr.wikiquote.org	wikiquote	hr	hr.m.wikiquote.org	Croatian	open	public	public	Croatian Wikiquote
hrwikisource	hr.wikisource.org	wikisource	hr	hr.m.wikisource.org	Croatian	open	public	public	Croatian Wikisource
hrwiktionary	hr.wiktionary.org	wiktionary	hr	hr.m.wiktionary.org	Croatian	open	public	public	Croatian Wiktionary
hsbwiki	hsb.wikipedia.org	wikipedia	hsb	hsb.m.wikipedia.org	Upper Sorbian	open	public	public	Upper Sorbian Wikipedia
hsbwiktionary	hsb.wiktionary.org	wiktionary	hsb	hsb.m.wiktionary.org	Upper Sorbian	open	public	public	Upper Sorbian Wiktionary
htwiki	ht.wikipedia.org	wikipedia	ht	ht.m.wikipedia.org	Haitian Creole	open	public	public	Haitian Creole Wikipedia
htwikisource	ht.wikisource.org	wikisource	ht	ht.m.wikisource.org	Haitian Creole	closed	public	public	Haitian Creole Wikisource
huwiki	hu.wikipedia.org	wikipedia	hu	hu.m.wikipedia.org	Hungarian	open	public	public	Hungarian Wikipedia
huwikibooks	hu.wikibooks.org	wikibooks	hu	hu.m.wikibooks.org	Hungarian	open	public	public	Hungarian Wikibooks
huwikinews	hu.wikinews.org	wikinews	hu	hu.m.wikinews.org	Hungarian	closed	public	public	Hungarian Wikinews
huwikiquote	hu.wikiquote.org	wikiquote	hu	hu.m.wikiquote.org	Hungarian	open	public	public	Hungarian Wikiquote
huwikisource	hu.wikisource.org	wikisource	hu	hu.m.wikisource.org	Hungarian	open	public	public	Hungarian Wikisource
huwiktionary	hu.wiktionary.org	wiktionary	hu	hu.m.wiktionary.org	Hungarian	open	public	public	Hungarian Wiktionary
hywiki	hy.wikipedia.org	wikipedia	hy	hy.m.wikipedia.org	Armenian	open	public	public	Armenian Wikipedia
hywikibooks	hy.wikibooks.org	wikibooks	hy	hy.m.wikibooks.org	Armenian	open	public	public	Armenian Wikibooks
hywikiquote	hy.wikiquote.org	wikiquote	hy	hy.m.wikiquote.org	Armenian	open	public	public	Armenian Wikiquote
hywikisource	hy.wikisource.org	wikisource	hy	hy.m.wikisource.org	Armenian	open	public	public	Armenian Wikisource
hywiktionary	hy.wiktionary.org	wiktionary	hy	hy.m.wiktionary.org	Armenian	open	public	public	Armenian Wiktionary
hywwiki	hyw.wikipedia.org	wikipedia	hyw	hyw.m.wikipedia.org	Western Armenian	open	public	public	Western Armenian Wikipedia
hzwiki	hz.wikipedia.org	wikipedia	hz	hz.m.wikipedia.org	Herero	closed	public	public	Herero Wikipedia
iawiki	ia.wikipedia.org	wikipedia	ia	ia.m.wikipedia.org	Interlingua	open	public	public	Interlingua Wikipedia
iawikibooks	ia.wikibooks.org	wikibooks	ia	ia.m.wikibooks.org	Interlingua	open	public	public	Interlingua Wikibooks
iawiktionary	ia.wiktionary.org	wiktionary	ia	ia.m.wiktionary.org	Interlingua	open	public	public	Interlingua Wiktionary
ibawiki	iba.wikipedia.org	wikipedia	iba	iba.m.wikipedia.org	Iban	open	public	public	Iban Wikipedia
id_internalwikimedia	id-internal.wikimedia.org	id-internalwikimedia	en	id-internal.m.wikimedia.org	English	open	private	private	Wikimedia Indonesia (internal)
idwiki	id.wikipedia.org	wikipedia	id	id.m.wikipedia.org	Indonesian	open	public	public	Indonesian Wikipedia
idwikibooks	id.wikibooks.org	wikibooks	id	id.m.wikibooks.org	Indonesian	open	public	public	Indonesian Wikibooks
idwikimedia	id.wikimedia.org	idwikimedia	en	id.m.wikimedia.org	English	open	public	private	Wikimedia Indonesia
idwikiquote	id.wikiquote.org	wikiquote	id	id.m.wikiquote.org	Indonesian	open	public	public	Indonesian Wikiquote
idwikisource	id.wikisource.org	wikisource	id	id.m.wikisource.org	Indonesian	open	public	public	Indonesian Wikisource
idwikivoyage	id.wikivoyage.org	wikivoyage	id	id.m.wikivoyage.org	Indonesian	open	public	public	Indonesian Wikivoyage
idwiktionary	id.wiktionary.org	wiktionary	id	id.m.wiktionary.org	Indonesian	open	public	public	Indonesian Wiktionary
iegcomwiki	iegcom.wikimedia.org	iegcom	en	iegcom.m.wikimedia.org	English	open	private	private	Individual Engagement Grants Committee
iewiki	ie.wikipedia.org	wikipedia	ie	ie.m.wikipedia.org	Interlingue	open	public	public	Interlingue Wikipedia
iewikibooks	ie.wikibooks.org	wikibooks	ie	ie.m.wikibooks.org	Interlingue	closed	public	public	Interlingue Wikibooks
iewiktionary	ie.wiktionary.org	wiktionary	ie	ie.m.wiktionary.org	Interlingue	open	public	public	Interlingue Wiktionary
iglwiki	igl.wikipedia.org	wikipedia	igl	igl.m.wikipedia.org	Igala	open	public	public	Igala Wikipedia
igwiki	ig.wikipedia.org	wikipedia	ig	ig.m.wikipedia.org	Igbo	open	public	public	Igbo Wikipedia
igwikiquote	ig.wikiquote.org	wikiquote	ig	ig.m.wikiquote.org	Igbo	open	public	public	Igbo Wikiquote
igwiktionary	ig.wiktionary.org	wiktionary	ig	ig.m.wiktionary.org	Igbo	open	public	public	Igbo Wiktionary
iiwiki	ii.wikipedia.org	wikipedia	ii	ii.m.wikipedia.org	Sichuan Yi	closed	public	public	Sichuan Yi Wikipedia
ikwiki	ik.wikipedia.org	wikipedia	ik	ik.m.wikipedia.org	Inupiaq	open	public	public	Inupiaq Wikipedia
ikwiktionary	ik.wiktionary.org	wiktionary	ik	ik.m.wiktionary.org	Inupiaq	closed	public	public	Inupiaq Wiktionary
ilowiki	ilo.wikipedia.org	wikipedia	ilo	ilo.m.wikipedia.org	Iloko	open	public	public	Iloko Wikipedia
ilwikimedia	il.wikimedia.org	ilwikimedia	en	il.m.wikimedia.org	English	open	private	private	Wikimedia Israel
incubatorwiki	incubator.wikimedia.org	incubator	en	incubator.m.wikimedia.org	English	open	public	public	Wikimedia Incubator
inhwiki	inh.wikipedia.org	wikipedia	inh	inh.m.wikipedia.org	Ingush	open	public	public	Ingush Wikipedia
internalwiki	internal.wikimedia.org	internal	en	internal.m.wikimedia.org	English	closed	private	private	Internal
iowiki	io.wikipedia.org	wikipedia	io	io.m.wikipedia.org	Ido	open	public	public	Ido Wikipedia
iowiktionary	io.wiktionary.org	wiktionary	io	io.m.wiktionary.org	Ido	open	public	public	Ido Wiktionary
iswiki	is.wikipedia.org	wikipedia	is	is.m.wikipedia.org	Icelandic	open	public	public	Icelandic Wikipedia
iswikibooks	is.wikibooks.org	wikibooks	is	is.m.wikibooks.org	Icelandic	open	public	public	Icelandic Wikibooks
iswikiquote	is.wikiquote.org	wikiquote	is	is.m.wikiquote.org	Icelandic	open	public	public	Icelandic Wikiquote
iswikisource	is.wikisource.org	wikisource	is	is.m.wikisource.org	Icelandic	open	public	public	Icelandic Wikisource
iswiktionary	is.wiktionary.org	wiktionary	is	is.m.wiktionary.org	Icelandic	open	public	public	Icelandic Wiktionary
itwiki	it.wikipedia.org	wikipedia	it	it.m.wikipedia.org	Italian	open	public	public	Italian Wikipedia
itwikibooks	it.wikibooks.org	wikibooks	it	it.m.wikibooks.org	Italian	open	public	public	Italian Wikibooks
itwikinews	it.wikinews.org	wikinews	it	it.m.wikinews.org	Italian	open	public	public	Italian Wikinews
itwikiquote	it.wikiquote.org	wikiquote	it	it.m.wikiquote.org	Italian	open	public	public	Italian Wikiquote
itwikisource	it.wikisource.org	wikisource	it	it.m.wikisource.org	Italian	open	public	public	Italian Wikisource
itwikiversity	it.wikiversity.org	wikiversity	it	it.m.wikiversity.org	Italian	open	public	public	Italian Wikiversity
itwikivoyage	it.wikivoyage.org	wikivoyage	it	it.m.wikivoyage.org	Italian	open	public	public	Italian Wikivoyage
itwiktionary	it.wiktionary.org	wiktionary	it	it.m.wiktionary.org	Italian	open	public	public	Italian Wiktionary
iuwiki	iu.wikipedia.org	wikipedia	iu	iu.m.wikipedia.org	Inuktitut	open	public	public	Inuktitut Wikipedia
iuwiktionary	iu.wiktionary.org	wiktionary	iu	iu.m.wiktionary.org	Inuktitut	open	public	public	Inuktitut Wiktionary
jamwiki	jam.wikipedia.org	wikipedia	jam	jam.m.wikipedia.org	Jamaican Creole English	open	public	public	Jamaican Patois Wikipedia
jawiki	ja.wikipedia.org	wikipedia	ja	ja.m.wikipedia.org	Japanese	open	public	public	Japanese Wikipedia
jawikibooks	ja.wikibooks.org	wikibooks	ja	ja.m.wikibooks.org	Japanese	open	public	public	Japanese Wikibooks
jawikinews	ja.wikinews.org	wikinews	ja	ja.m.wikinews.org	Japanese	open	public	public	Japanese Wikinews
